Date ,Incident Type,Location,City,Unit ID,Whole Address,Latitude,Longitude
01/01/2023,DISORDERLY,5910 87th Ave," New Carollton MD, 20784",PP/NC10,"5910 87th Ave New Carollton MD, 20784",38.9651134,-76.8688305
01/01/2023,DISORDERLY,6403 Fairborn Ter," New Carollton MD, 20784",PP/NC10,"6403 Fairborn Ter New Carollton MD, 20784",38.9723446,-76.877073
01/01/2023,NOISE COMPLAINT,6001 84th Ave," New Carollton MD, 20784",PP/NC19,"6001 84th Ave New Carollton MD, 20784",38.9634846,-76.8721186
01/01/2023,DISORDERLY,Fairbanks St / Carrollton Pkwy," New Carollton MD, 20784",PP/NC19,"Fairbanks St / Carrollton Pkwy New Carollton MD, 20784",38.9724031,-76.8749242
01/01/2023,UNKNOWN TROUBLE,8500 Annapolis Rd Wb Apt 909," New Carollton MD, 20784",,"8500 Annapolis Rd Wb Apt 909 New Carollton MD, 20784",38.9590239,-76.8686729
01/01/2023,UNKNOWN TROUBLE,8375 Verona Dr," New Carollton MD, 20784",PP/NC10,"8375 Verona Dr New Carollton MD, 20784",38.9663011,-76.8792164
01/01/2023,UNKNOWN TROUBLE,8343 Verona Dr," New Carollton MD, 20784",PP/NC10,"8343 Verona Dr New Carollton MD, 20784",38.9673318,-76.8788859
01/01/2023,911 DISCONNECT,8343 Verona Dr," New Carollton MD, 20784",,"8343 Verona Dr New Carollton MD, 20784",38.9673318,-76.8788859
01/01/2023,PARTY COMPLAINT,6403 Lamont Dr," New Carollton MD, 20784",PP/NC10,"6403 Lamont Dr New Carollton MD, 20784",38.9702544,-76.8801807
01/01/2023,CHECK WELFARE COMBINED,8500 Annapolis Rd Wb Apt 909," New Carollton MD, 20784",PP/NC10,"8500 Annapolis Rd Wb Apt 909 New Carollton MD, 20784",38.9590239,-76.8686729
01/01/2023,911 DISCONNECT,5434 85th Ave," New Carollton MD, 20784",,"5434 85th Ave New Carollton MD, 20784",38.9540256,-76.8698216
01/01/2023,MISC POLICE INCIDENT,5321 85th Ave Apt 103," New Carollton MD, 20784",,"5321 85th Ave Apt 103 New Carollton MD, 20784",38.9554536,-76.8675486
01/01/2023,LOUD MUSIC COMPLAINT,5321 85th Ave Apt 203," New Carollton MD, 20784",PP/NC19,"5321 85th Ave Apt 203 New Carollton MD, 20784",38.9554536,-76.8675486
01/01/2023,911 DISCONNECT,5900 Lamont Dr," New Carollton MD, 20784",,"5900 Lamont Dr New Carollton MD, 20784",38.9648105,-76.8805861
01/01/2023,911 DISCONNECT,5900 Lamont Dr," New Carollton MD, 20784",,"5900 Lamont Dr New Carollton MD, 20784",38.9648105,-76.8805861
01/01/2023,UNKNOWN TROUBLE,5902 Lamont Dr," New Carollton MD, 20784",,"5902 Lamont Dr New Carollton MD, 20784",38.9649934,-76.8806086
01/01/2023,UNKNOWN TROUBLE,5900 Lamont Dr," New Carollton MD, 20784",,"5900 Lamont Dr New Carollton MD, 20784",38.9648105,-76.8805861
01/01/2023,UNKNOWN TROUBLE,5920 Lamont Dr," New Carollton MD, 20784",,"5920 Lamont Dr New Carollton MD, 20784",38.9654148,-76.8806849
01/01/2023,UNKNOWN TROUBLE,7735 Riverdale Rd Eb Apt 304," New Carollton MD, 20784",PP/NC21,"7735 Riverdale Rd Eb Apt 304 New Carollton MD, 20784",38.9584474,-76.8757918
01/01/2023,PARTY COMPLAINT,5410 85th Ave Apt 102," New Carollton MD, 20784",PP/NC20,"5410 85th Ave Apt 102 New Carollton MD, 20784",38.9541293,-76.8712263
01/01/2023,ASSIST FIRE EMS,7610 Fontainebleau Dr," New Carollton MD, 20784",PP/NC21,"7610 Fontainebleau Dr New Carollton MD, 20784",38.9591437,-76.8788992
01/01/2023,THEFT J O,8201 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC21,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/01/2023,911 DISCONNECT,8201 Annapolis Rd Eb," New Carollton MD, 20784",,"8201 Annapolis Rd Eb New Carollton MD, 20784",38.9550816,-76.8724114
01/01/2023,CHECK WELFARE COMBINED,8461 Annapolis Rd Eb," New Carollton MD, 20784",PP/NC20,"8461 Annapolis Rd Eb New Carollton MD, 20784",38.9574249,-76.8692359
01/01/2023,CHECK WELFARE,8461 Annapolis Rd Eb," New Carollton MD, 20784",,"8461 Annapolis Rd Eb New Carollton MD, 20784",38.9574249,-76.8692359
01/01/2023,ASSIST FIRE EMS,8206 Quentin St," New Carollton MD, 20784",,"8206 Quentin St New Carollton MD, 20784",38.9707073,-76.8827479
01/01/2023,MISC POLICE INCIDENT,5289 85th Ave," New Carollton MD, 20784",,"5289 85th Ave New Carollton MD, 20784",38.9537509,-76.8684809
01/01/2023,ATT SUICIDE COMBINED,5418 85th Ave," New Carollton MD, 20784",PP/NC20,"5418 85th Ave New Carollton MD, 20784",38.954647,-76.870992
01/01/2023,FAMILY DISPUTE,5420 85th Ave Apt T1," New Carollton MD, 20784",PP/NC21,"5420 85th Ave Apt T1 New Carollton MD, 20784",38.9542767,-76.8711684
01/01/2023,911 DISCONNECT,5508 Karen Elaine Dr," New Carollton MD, 20784",,"5508 Karen Elaine Dr New Carollton MD, 20784",38.956422,-76.879214
01/01/2023,911 DISCONNECT,8113 Carrollton Pkwy," New Carollton MD, 20784",,"8113 Carrollton Pkwy New Carollton MD, 20784",38.9677339,-76.8835027
01/01/2023,ACCIDENT,Annapolis Rd Eb / 85th Ave," New Carollton MD, 20784",PP/NC21,"Annapolis Rd Eb / 85th Ave New Carollton MD, 20784",38.964453,-76.8707519
01/01/2023,911 DISCONNECT,8113 Carrollton Pkwy," New Carollton MD, 20784",,"8113 Carrollton Pkwy New Carollton MD, 20784",38.9677339,-76.8835027
01/01/2023,911 DISCONNECT,8113 Carrollton Pkwy," New Carollton MD, 20784",,"8113 Carrollton Pkwy New Carollton MD, 20784",38.9677339,-76.8835027
01/01/2023,MISC POLICE INCIDENT,8308 Nicholson St," New Carollton MD, 20784",,"8308 Nicholson St New Carollton MD, 20784",38.9617993,-76.8731545
01/01/2023,FAMILY DISPUTE,7600 Fontainebleau Dr Apt 104," New Carollton MD, 20784",PP/NC21,"7600 Fontainebleau Dr Apt 104 New Carollton MD, 20784",38.9584907,-76.8805185
01/01/2023,MISC POLICE INCIDENT,5415 85th Ave," New Carollton MD, 20784",,"5415 85th Ave New Carollton MD, 20784",38.9560362,-76.8678154
01/01/2023,PREMISE CHECK,7710 Riverdale Rd Wb," New Carollton MD, 20784",PP/NC21,"7710 Riverdale Rd Wb New Carollton MD, 20784",38.9596402,-76.8740779
01/01/2023,ACCIDENT,7600 Riverdale Rd Wb," New Carollton MD, 20784",,"7600 Riverdale Rd Wb New Carollton MD, 20784",38.9603087,-76.8794151
01/01/2023,DISORDERLY,8498 Annapolis Rd Wb," New Carollton MD, 20784",PP/NC50,"8498 Annapolis Rd Wb New Carollton MD, 20784",38.9578924,-76.8698215
01/01/2023,BREAK IN REPORT,7717 Riverdale Rd Eb Apt T3," New Carollton MD, 20784",PP/NC10,"7717 Riverdale Rd Eb Apt T3 New Carollton MD, 20784",38.9580263,-76.8768647
01/01/2023,911 DISCONNECT,6409 Fairbanks St," New Carollton MD, 20784",,"6409 Fairbanks St New Carollton MD, 20784",38.9734327,-76.8757219
01/01/2023,911 DISCONNECT,6435 Fairborn Ter," New Carollton MD, 20784",,"6435 Fairborn Ter New Carollton MD, 20784",38.9734366,-76.8789196
01/01/2023,DISORDERLY,7615 Riverdale Rd Eb Apt 119," New Carollton MD, 20784",PP/NC10,"7615 Riverdale Rd Eb Apt 119 New Carollton MD, 20784",38.9596992,-76.8787932
01/01/2023,NOISE COMPLAINT,7607 Riverdale Rd Eb Apt 338," New Carollton MD, 20784",PP/NC19,"7607 Riverdale Rd Eb Apt 338 New Carollton MD, 20784",38.9592479,-76.8808115
